::1 - - [21/Mar/2025:08:48:35 +0700] "GET /LTW/php/file3.php HTTP/1.1" 200 251 "http://localhost:8081/LTW/php/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
::1 - - [21/Mar/2025:08:48:46 +0700] "GET /LTW/php/file3.php HTTP/1.1" 200 245 "http://localhost:8081/LTW/php/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
::1 - - [21/Mar/2025:08:51:11 +0700] "GET /LTW/php/file3.php HTTP/1.1" 200 245 "http://localhost:8081/LTW/php/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
::1 - - [21/Mar/2025:08:51:16 +0700] "GET /LTW/php/file3.php HTTP/1.1" 200 486 "http://localhost:8081/LTW/php/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
::1 - - [21/Mar/2025:08:51:29 +0700] "GET /LTW/php/file3.php HTTP/1.1" 200 486 "http://localhost:8081/LTW/php/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
::1 - - [21/Mar/2025:08:51:37 +0700] "GET /LTW/php/file3.php HTTP/1.1" 200 276 "http://localhost:8081/LTW/php/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
::1 - - [21/Mar/2025:08:52:32 +0700] "GET /LTW/php/file3.php HTTP/1.1" 200 276 "http://localhost:8081/LTW/php/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
::1 - - [21/Mar/2025:08:52:43 +0700] "GET /LTW/php/file3.php HTTP/1.1" 200 360 "http://localhost:8081/LTW/php/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
::1 - - [21/Mar/2025:08:52:50 +0700] "GET /LTW/php/file3.php HTTP/1.1" 200 4444679 "http://localhost:8081/LTW/php/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
::1 - - [21/Mar/2025:08:54:14 +0700] "GET /LTW/php/file3.php HTTP/1.1" 200 245 "http://localhost:8081/LTW/php/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"
